[INFO] [1770121949.872164303] [local_navigation_node]: Local Navigation Node initialized
[INFO] [1770121949.872769831] [local_navigation_node]: Wheel base radius: 327.04 mm
[INFO] [1770121949.873275340] [local_navigation_node]: Motor control mode: 3 (VEL)
[INFO] [1770121964.498479635] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121964.548408497] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121964.598421842] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121964.648447447] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121964.698470829] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121964.748490767] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121964.798477667] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121964.848479364] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121964.898391077] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121964.948526424] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121964.998599419] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121965.048423687] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121965.098548423] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121965.148411488] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121965.198568410] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121965.248524625] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121965.298432488] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121965.348604354] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121965.398483068] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121965.448495099] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
[INFO] [1770121965.498460295] [local_navigation_node]: Publishing M4: array('f', [4.0, 3.0, 0.0, 0.0])
